id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,neg|lfc,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna,pos|lfc
GNGT2,4,0.72102,0.50095,0.7293,13321,0,0.046695,0.1787,0.41429,1,5191,2,0.046695
GPR141,4,0.7211,0.50095,0.7293,13322,0,0.098147,0.57397,0.71869,1,10705,1,0.098147
APOPT1,4,0.72114,0.50095,0.7293,13323,0,-0.027966,0.89398,0.96521,1,16681,0,-0.027966
UGT8,4,0.72116,0.50095,0.7293,13324,0,0.10243,0.029692,0.13337,1,1448,2,0.10243
BEND7,4,0.72132,0.5033,0.730199,13325,0,0.10256,0.68968,0.82752,1,12789,0,0.10256
RNF169,4,0.72136,0.5033,0.730199,13326,0,0.019723,0.78271,0.8971,1,14529,0,0.019723
DAXX,4,0.72142,0.5033,0.730199,13327,0,-0.02185,0.9015,0.96834,1,16828,0,-0.02185
ABHD17B,4,0.72152,0.5033,0.730199,13328,0,-0.045884,0.30672,0.50826,1,6870,1,-0.045884
ZAR1L,4,0.72154,0.5033,0.730199,13329,0,0.0028086,0.46075,0.64006,1,8911,1,0.0028086
CAMK2B,3,0.72156,0.54043,0.754673,13330,0,0.031311,0.81617,0.92027,1,15182,0,0.031311
TGFBR3,4,0.7216,0.5033,0.730199,13331,0,0.039939,0.25023,0.47222,1,6229,1,0.039939
SEC23B,4,0.72166,0.5033,0.730199,13332,0,-0.042436,0.9617,0.99068,1,18028,0,-0.042436
CNNM3,4,0.7217,0.5033,0.730199,13333,0,0.09806,0.13971,0.34822,1,4255,1,0.09806
CLPSL1,4,0.72174,0.5033,0.730199,13334,0,0.11451,0.19983,0.43524,1,5713,2,0.11451
LRRC3C,4,0.72178,0.5033,0.730199,13335,0,0.079308,0.28147,0.4967,1,6561,1,0.079308
CCNDBP1,4,0.72182,0.5033,0.730199,13336,0,0.049863,0.11994,0.31844,1,3740,1,0.049863
KRT7,3,0.72189,0.54043,0.754673,13337,0,0.068769,0.61449,0.75931,1,11415,0,0.068769
MOV10,4,0.72198,0.5033,0.730199,13338,0,0.0011572,0.47216,0.64438,1,9087,1,0.0011572
LYPD8,4,0.72214,0.5033,0.730199,13339,0,0.093281,0.54389,0.68855,1,10173,1,0.093281
OR6C3,4,0.72218,0.5033,0.730199,13340,0,0.095705,0.5802,0.72717,1,10811,1,0.095705
CUX1,4,0.72224,0.5033,0.730199,13341,0,0.013493,0.66555,0.80734,1,12334,0,0.013493
HS3ST5,4,0.7223,0.5033,0.730199,13342,0,-0.011932,0.65654,0.79539,1,12169,0,-0.011932
NBPF4,4,0.72232,0.5033,0.730199,13343,0,0.096526,0.17375,0.40616,1,5074,2,0.096526
ACTG1,4,0.72234,0.5033,0.730199,13344,0,-0.10297,0.82912,0.9247,1,15427,0,-0.10297
MYO10,4,0.7224,0.5033,0.730199,13345,0,-0.0020877,0.60321,0.73998,1,11213,1,-0.0020877
UBE2R2,4,0.72242,0.5033,0.730199,13346,0,-0.083177,0.65503,0.79412,1,12141,0,-0.083177
GIP,4,0.72248,0.5033,0.730199,13347,0,0.11685,0.074329,0.23563,1,2609,2,0.11685
ZNF441,4,0.72252,0.5033,0.730199,13348,0,-0.0098814,0.79307,0.90567,1,14731,0,-0.0098814
RAB7B,4,0.72256,0.5033,0.730199,13349,0,0.0016577,0.78594,0.89862,1,14583,0,0.0016577
SAMD5,4,0.72262,0.5033,0.730199,13350,0,0.14944,0.014716,0.074822,1,773,3,0.14944
STK32C,4,0.72268,0.5033,0.730199,13351,0,0.01578,0.29591,0.50243,1,6722,1,0.01578
NTF3,4,0.72276,0.5033,0.730199,13352,0,-0.046318,0.89685,0.96617,1,16745,0,-0.046318
OR5B21,4,0.72278,0.5033,0.730199,13353,0,0.0053925,0.040262,0.16123,1,1756,1,0.0053925
C4BPA,4,0.7228,0.5033,0.730199,13354,0,0.0017056,0.33705,0.53276,1,7244,1,0.0017056
SAXO1,4,0.72282,0.5033,0.730199,13355,0,-0.0086235,0.93645,0.98197,1,17533,0,-0.0086235
GSDMD,4,0.72286,0.5033,0.730199,13356,0,-0.043665,0.96742,0.99293,1,18150,0,-0.043665
SLC32A1,4,0.72292,0.5033,0.730199,13357,0,0.0095235,0.23586,0.46078,1,6087,1,0.0095235
VPS72,4,0.723,0.5033,0.730199,13358,0,-0.045853,0.11187,0.30536,1,3525,1,-0.045853
SLC27A2,4,0.72302,0.5033,0.730199,13359,0,-0.044091,0.78357,0.8971,1,14542,0,-0.044091
GRK4,4,0.72306,0.5033,0.730199,13360,0,0.089111,0.06983,0.2248,1,2515,2,0.089111
FCRL4,4,0.7231,0.5033,0.730199,13361,0,0.12707,0.035182,0.15044,1,1626,2,0.12707
NXPE2,4,0.72312,0.5033,0.730199,13362,0,-0.0092819,0.89162,0.96422,1,16635,0,-0.0092819
C9orf92,4,0.72314,0.5033,0.730199,13363,0,-0.027656,0.65675,0.79539,1,12170,0,-0.027656
LYPD3,4,0.72318,0.5033,0.730199,13364,0,0.055331,0.71524,0.84637,1,13281,0,0.055331
PLEKHG1,4,0.72322,0.5033,0.730199,13365,0,-0.050837,0.31002,0.51113,1,6914,1,-0.050837
AMBRA1,4,0.72328,0.5033,0.730199,13366,0,0.1358,0.00081169,0.0066698,1,84,2,0.1358
S100P,4,0.7234,0.5033,0.730199,13367,0,0.027906,0.56112,0.70717,1,10469,1,0.027906
AVIL,4,0.72342,0.5033,0.730199,13368,0,0.018384,0.14466,0.35853,1,4391,1,0.018384
OR5AC2,4,0.72344,0.5033,0.730199,13369,0,-0.035434,0.5634,0.71145,1,10515,1,-0.035434
MSX2,4,0.72348,0.50573,0.73175,13370,0,-0.045315,0.44572,0.62732,1,8691,1,-0.045315
AKR1B15,4,0.7235,0.50573,0.73175,13371,0,0.014019,0.87094,0.95357,1,16225,0,0.014019
HRASLS5,4,0.72352,0.50573,0.73175,13372,0,-0.024504,0.69776,0.83291,1,12941,0,-0.024504
SNTG2,4,0.72354,0.50573,0.73175,13373,0,0.01694,0.75998,0.88309,1,14114,0,0.01694
NME6,4,0.72356,0.50573,0.73175,13374,0,-0.046384,0.86741,0.95319,1,16158,0,-0.046384
DPP9,4,0.72358,0.50573,0.73175,13375,0,-0.0045361,0.34265,0.53706,1,7312,1,-0.0045361
ATXN1L,4,0.72362,0.50573,0.73175,13376,0,0.086847,0.1455,0.36139,1,4414,2,0.086847
C14orf159,4,0.72364,0.50573,0.73175,13377,0,-0.044025,0.81268,0.91625,1,15109,0,-0.044025
VASN,4,0.72366,0.50573,0.73175,13378,0,0.044464,0.51247,0.66991,1,9679,1,0.044464
IRF3,4,0.7237,0.50573,0.73175,13379,0,-0.03407,0.49994,0.66272,1,9478,1,-0.03407
KIAA1462,4,0.72372,0.50573,0.73175,13380,0,0.093153,0.15595,0.37838,1,4635,2,0.093153
ZNF516,4,0.72392,0.50573,0.73175,13381,0,0.063851,0.8388,0.93195,1,15616,0,0.063851
GUSB,4,0.72394,0.50573,0.73175,13382,0,0.15554,0.0039095,0.026236,1,265,2,0.15554
MAK,4,0.724,0.50573,0.73175,13383,0,0.030707,0.26755,0.48377,1,6429,1,0.030707
MRPS25,4,0.72404,0.50573,0.73175,13384,0,-0.012883,0.92311,0.97792,1,17273,0,-0.012883
AXIN1,4,0.72412,0.50573,0.73175,13385,0,0.016034,0.78031,0.8949,1,14483,0,0.016034
PCDHGA9,4,0.72416,0.50573,0.73175,13386,0,0.0031389,0.83285,0.92812,1,15501,0,0.0031389
PAIP1,4,0.72424,0.50573,0.73175,13387,0,-0.048158,0.81939,0.92172,1,15240,0,-0.048158
GPRASP2,4,0.72428,0.50573,0.73175,13388,0,-0.075957,0.45282,0.63445,1,8803,1,-0.075957
NEB,4,0.72434,0.50573,0.73175,13389,0,0.23545,0.0029232,0.023661,1,217,3,0.23545
PHEX,4,0.72438,0.50573,0.73175,13390,0,0.093678,0.11659,0.31094,1,3641,2,0.093678
ZSCAN22,4,0.72454,0.50573,0.73175,13391,0,-0.03367,0.67197,0.81201,1,12457,0,-0.03367
TMEM180,4,0.72456,0.50573,0.73175,13392,0,-0.020575,0.66789,0.80971,1,12374,0,-0.020575
THEGL,4,0.72458,0.50573,0.73175,13393,0,0.027141,0.1684,0.39699,1,4935,1,0.027141
EPHX3,4,0.7246,0.50573,0.73175,13394,0,-0.02379,0.90342,0.96895,1,16867,0,-0.02379
LMNTD2,4,0.72462,0.50573,0.73175,13395,0,0.018261,0.61296,0.74427,1,11385,1,0.018261
SLC46A2,4,0.72466,0.50573,0.73175,13396,0,-0.045833,0.83017,0.9247,1,15443,0,-0.045833
OR5J2,4,0.72472,0.50573,0.73175,13397,0,0.040086,0.52683,0.6757,1,9907,1,0.040086
CFAP70,4,0.72476,0.50573,0.73175,13398,0,0.084721,0.015193,0.080869,1,800,2,0.084721
TRAPPC6B,4,0.7248,0.50573,0.73175,13399,0,-0.013891,0.50404,0.66272,1,9543,1,-0.013891
MCMDC2,4,0.72484,0.50573,0.73175,13400,0,0.011248,0.4152,0.59446,1,8256,1,0.011248
RBPMS2,3,0.72493,0.54226,0.754673,13401,0,0.064366,0.39357,0.54039,1,7966,1,0.064366
MDP1,3,0.72511,0.54226,0.754673,13402,0,0.10127,0.070018,0.20785,1,2519,1,0.10127
MIER1,4,0.72516,0.50573,0.73175,13403,0,-0.076582,0.78615,0.89937,1,14585,0,-0.076582
SUMF1,4,0.7252,0.50573,0.73175,13404,0,0.0018749,0.26514,0.48377,1,6397,1,0.0018749
METTL7A,4,0.72526,0.50573,0.73175,13405,0,-0.010746,0.69977,0.83399,1,12975,0,-0.010746
CCDC15,4,0.7253,0.50573,0.73175,13406,0,-0.012651,0.77232,0.88954,1,14349,0,-0.012651
PAQR7,4,0.72536,0.50573,0.73175,13407,0,0.090671,0.10364,0.2992,1,3319,2,0.090671
WDR93,4,0.7255,0.50808,0.7346,13408,0,-0.056829,0.49704,0.66272,1,9438,1,-0.056829
ACSL6,4,0.72565,0.50808,0.7346,13409,0,0.0081626,0.68741,0.82536,1,12750,0,0.0081626
ZNF99,4,0.72571,0.50808,0.7346,13410,0,0.02921,0.36634,0.55137,1,7617,1,0.02921
FAM78B,4,0.72575,0.50808,0.7346,13411,0,0.077937,0.12649,0.32666,1,3927,1,0.077937
KCNJ5,4,0.72581,0.50808,0.7346,13412,0,-0.063086,0.63374,0.76952,1,11763,0,-0.063086
