genes
ZNF124
DPH5
ABL1
HNF4A
TSSK1B
LPAR2
RBM14
LPAR5
IFNG
OOSP2
GPR101
CSNK1G2
BAI1
ELF3
ACVRL1
GPR4
NR2F1
ADORA2A
HIPK4
IFNB1
PNPLA6
DIP2C
IDH2
MAGEB6
NEDD9
BANF1
FAM32A
ALKBH7
OR2K2
ACVR2B
MINK1
L3MBTL3
VMA21
ZC3H10
KLF3
IRF2
KLF12
ESR1
FOXR2
ADRA2C
PPARG
LPAR4
ATF4
F2RL3
S1PR2
GRM2
TBR1
NKX2-5
NR2E1
MAST3
PRR23B
KLF4
SOX2
GPR26
MDP1
MAGEB4
MSX1
IFNA17
FNDC1
HMHA1
IFNA8
IFNA5
ELK3
ADRB1
BANP
ERN1
SBNO2
ADRA1D
TTBK2
IFNA4
TSC2
ZNF219
SIPA1L3
CDKN1A
GPR3
CPEB1
ZCCHC24
NR5A1
ESRRG
CDX2
ZNF645
ZNF512B
PLK4
KLF2
POU2F1
TM9SF3
IFNA21
RPA4
RBM10
TOB1
CTDSP1
MYO16
USP42
CPEB2
IFNA10
HMX2
PITX1
SP1
OVOL2
EGR2
TAF7L
TFAP4
ZNF268
HOXB13
MEF2D
PASD1
NKX2-3
NEUROD6
IFNA6
GRM5
GPR62
PLXNA3
TNC
TP63
ZNF628
HIST1H4I
SPDYE7P
CNNM4
ZC3H12A
GPR78
PEX6
TCEB3CL
MAGEB10
MYF6
CALHM1
KIF21B
CHMP4C
GPR124
RBMS2
RBM15
FOXB1
SLC4A1
ANXA2R
IFNW1
GPR144
ADRA2A
ZNF775
SOX14
INPP5D
BZRAP1
GSC
DLX2
NOTCH3
ZBTB14
DRD4
HTR4
GSK3B
SOX15
GPR50
REPIN1
CEBPE
TLX3
TWIST2
MSC
ACAP3
RUNX3
ELF4
BRD3
SLC4A3
JMJD1C-AS1
GMEB1
SPDYE2
GNG5
TECPR2
PRDM1
FAM133A
IKZF5
SLC45A3
PRR22
MEX3B
IRS1
BEND3
SIX4
KIAA1551
PLEKHG5
PITX2
IFNA2
FOXA1
TGIF2LX
LCOR
DICER1
HOXA3
TCOF1
LOC100996746
ZNF423
PC
RSRC2
CREB1
PRRT3
GPR88
ZFP36L1
MAGEB2
BTBD18
FHOD1
LTN1
GPR153
SGK223
DMRT1
ZC3H12B
FAM46D
RNF139
RBM47
PRR20A
TRAK1
MIOS
SSBP4
CDAN1
KIAA0232
NOTCH1
GRHL1
SPHKAP
FERD3L
SATB2
HAND1
INO80
MXD1
ZNF608
ELAVL4
KLHL10
SLX4
SLC37A3
RUNX1
CXorf67
POLD1
ZBTB22
NOVA1
KLHL34
SLC37A4
IFNA1
MYOG
HRSP12
HES1
HOXC11
SUPT5H
PPP1R13L
FOXA3
HTR7
BAG6
FOXP2
RASA3
DND1
GCHFR
IRX2
CCDC13
ITPRIPL2
KIAA0922
ERG
QKI
MADD
SRSF4
ASCL4
ASPM
TSPAN8
BRD2
SNRNP27
CLEC4G
42071
GSE1
SHOX2
TMEM19
ATOH1
HDAC5
CNPY1
DLX3
SNRPA
SOX5
MPDU1
EGR1
PLXNA2
LLGL2
RBM19
A2M
KLHL31
TMEM139
IFNA7
RBM12
JUN
NEUROG3
ZNF782
KCNK13
MAPK8IP3
IRX6
MITD1
E2F7
SARDH
RAD9A
SPDYE4
SATB1
MAML3
ZDHHC1
PCBP1
OR4K2
GBX2
GAS2L1
PURB
ZIC3
SMTN
NISCH
FBXW7
AFF2
TFAP2A
POU3F2
POM121
BHLHA15
C21orf58
FOXG1
CATSPERB
PLAC1
INPP5E
BRPF1
SLC38A2
TONSL
PIGN
L1TD1
PCDHGA2
CELF3
SFSWAP
PCDHA8
MYOD1
GLUD1
ATXN1
ITPKA
BTG1
MXI1
CTCF
SIX2
HERC4
BMS1
ADRA1B
SNAI1
HTATSF1
TOMM40L
WDR66
ZNF804B
FZD1
PRDM14
MAGI1
NIPA2
TMPRSS13
C8orf22
PAX7
PKNOX1
TMEM2
