,gene_symbol
2894,LOXHD1
2896,LRBA
2900,LRTOMT
2902,LYRM7
2906,MAK
2907,MALT1
2908,MAN1B1
2911,MAOA
2914,MAPK8IP3
2915,MARS2
2916,MARVELD2
2917,MAT1A
2919,MBD5
2920,MBTPS2
2924,MCFD2
2925,MCIDAS
2926,MCM3AP
2932,MED13
2938,MEN1
2939,MERTK
2941,MFN2
2954,MOCOS
2957,MOGS
2958,MORC2
2959,MPIG6B
2964,MRPL44
2965,MRPS22
2966,MSH2
2970,MSL3
2971,MSN
2972,MSRB3
2973,MSTO1
2976,MT-ATP6
2978,MT-CO1
2979,MT-CO2
2980,MT-CO3
2981,MT-ND1
2982,MT-ND3
2983,MT-ND4
2984,MT-ND5
2985,MT-ND6
2986,MT-TE
2987,MT-TF
2988,MT-TH
2989,MT-TK
2991,MT-TL1
2992,MT-TM
2993,MT-TN
2995,MT-TS1
2996,MT-TV
2997,MT-TW
2998,MT-TY
2999,MTFMT
3002,MTMR2
3004,MTPAP
3008,MUC1
3009,MUTYH
3011,MYH11
3012,MYH2
3017,MYL2
3019,MYL3
3020,MYMK
3021,MYO15A
3023,MYO6
3024,MYO7A
3026,MYPN
3027,MYT1L
3033,NBEA
3034,NBEAL2
3037,NDUFAF2
3038,NDUFAF5
3039,NDUFAF6
3040,NDUFB11
3041,NDUFB3
3043,NDUFS2
3045,NDUFS6
3048,NEDD4L
3049,NEFH
3050,NEFL
3053,NEK8
3055,NEXMIF
3061,NFKB1
3062,NFKB2
3064,NHEJ1
3070,NLGN4X
3073,NONO
3079,NPRL3
3082,NR4A2
3084,NRXN1
3087,NTHL1
3090,OAT
3093,ODAD1
3094,ODAD2
3095,ODAD3
3096,ODAD4
3100,OPTN
3102,ORAI1
3105,OTOF
3113,PARK7
3117,PBX1
3118,PCARE
3124,PCSK9
3126,PDE6A
3127,PDGFRA
3131,PDZD7
3146,PFN1
3147,PHF21A
3155,PIEZO1
3157,PIGN
3160,PIK3CD
3166,PJVK
3169,PKD2
3171,PKP2
3172,PLCB1
3173,PLEKHG5
3174,PLG
3175,PLN
3181,PNPLA2
3182,PNPLA6
3184,PNPO
3185,POGLUT1
3187,POLD1
3188,POLE
3189,POLH
3190,POMGNT2
3193,POR
3195,POU3F4
3196,POU4F3
3197,PPM1D
3198,PPP1CB
3204,PRF1
3206,PRKAG2
3209,PRKDC
3211,PROC
3213,PROK2
3217,PRPF8
3221,PRX
3225,PSAT1
3231,PTPRC
3232,PTPRQ
3234,PUF60
3237,PXDN
3239,PYROXD1
3240,QARS1
3244,RAB27A
3245,RAB28
3248,RAB7A
3250,RAD51C
3251,RAD51D
3254,RAG2
3257,RASGRP2
3259,RBM20
3261,RCBTB1
3262,RDH12
3264,RDX
3266,RELA
3269,RERE
3270,RET
3272,RFX5
3273,RFXANK
3274,RFXAP
3275,RHBDF2
3277,RLBP1
3278,RMND1
3280,RNF168
3281,RNF43
3286,RP2
3289,RPL5
3290,RPS10
3293,RPS6KA3
3294,RRAS2
3296,RSPH1
3297,RSPH4A
3299,RXYLT1
3306,SBF2
3307,SCARB2
3308,SCN11A
3320,SCNN1G
3324,SDHAF2
3327,SDHC
3330,SELENON
3331,SERAC1
3333,SERPIND1
3334,SERPINF2
3335,SERPING1
3336,SERPINI1
3337,SET
3342,SFTPA2
3350,SHANK2
3351,SHANK3
3358,SLC1A2
3359,SLC1A3
3360,SLC1A4
3362,SLC25A13
3365,SLC25A22
3366,SLC25A4
3367,SLC25A46
3379,SLC6A19
3385,SLITRK6
3390,SMAD9
3396,SMARCC1
3401,SMCHD1
3403,SMPX
3404,SMS
3405,SNAP25
3408,SOD1
3410,SORD
3412,SOS2
3415,SOX5
3417,SPAG1
3418,SPART
3425,SPTLC2
3427,STAC3
3428,STAG1
3429,STAT3
3431,STIL
3432,STIM1
3433,STK11
3435,STRC
3436,STX11
3437,STX1B
3440,SUCLA2
3443,SUOX
3446,SYNJ1
3449,TANC2
3451,TAP1
3455,TBK1
3460,TCAP
3461,TCF12
3462,TCF20
3463,TCF3
3465,TCF7L2
3468,TCTN2
3470,TECRL
3471,TECTA
3474,TELO2
3476,TGFB2
3483,TIMM50
3484,TIMM8A
3485,TIMP3
3486,TMC1
3488,TMEM126B
3490,TMEM231
3492,TMEM43
3495,TMIE
3496,TMPRSS3
3497,TNFRSF13B
3498,TNNC1
3501,TNNT1
3504,TNRC6B
3505,TOPORS
3507,TPM1
3508,TPM2
3509,TPM3
3511,TPRN
3514,TRDN
3517,TRIM8
3520,TRIP12
3521,TRIT1
3522,TRMT5
3523,TRNT1
3531,TSPAN12
3538,TUBB1
3541,TUBG1
3549,UBQLN2
3553,UROD
3556,USH2A
3557,USP7
3559,VAPB
3560,VARS2
3561,VCAN
3562,VCP
3563,VHL
3568,VPS35
3572,WARS2
3575,WDFY3
3581,WDR72
3584,WHRN
3585,WIPF1
3586,WNK1
3591,WWOX
3594,YARS1
3595,ZAP70
3599,ZMIZ1
3602,ZMYND10
3697,KCNJ2
3712,MRE11
3719,PDCD10
3764,APOA1
3767,GALNT3
3768,CCM2
3769,NLRP3
3771,FBLN5
3773,PKP1
3774,KRT85
3776,TMC6
3777,TMC8
3778,SCN9A
3781,MRAP
3785,HAMP
3787,SLC40A1
3788,ATP2C1
3789,KRT2
3794,KRT17
3796,TALDO1
3798,ADAMTS10
3800,MMP2
3801,ATP6V0A2
3803,HJV
3814,FAM161A
3818,FZD4
3823,TGFBI
3827,PIKFYVE
3828,UBIAD1
3829,KRT12
3831,ACBD5
3832,B3GLCT
3836,MIP
3839,TULP1
3840,KCNJ13
3843,NR2E3
3845,NRL
3851,RTN4IP1
3858,CABP4
3861,C1QTNF5
3864,ATXN7
3868,CNBP
3877,DHDDS
3885,AMACR
3888,CLCN2
3889,CRYGS
3891,CWC27
3892,DCN
3895,FA2H
3897,GCNT2
3898,GJA8
3904,GNAT1
3907,GSN
3908,GUCA1A
3914,IMPDH1
3916,IMPG1
3917,IMPG2
3919,IQCB1
3920,KCNV2
3924,LIM2
3925,LRAT
3931,MVK
3940,OPN1LW
3941,OPN1MW
3942,OVOL2
3943,PANK2
3947,PDE6C
3949,PRDM5
3960,PLA2G5
3963,POC1B
3966,PRCD
3967,PROM1
3968,PRPF3
3970,PRPF4
3978,RBP4
3979,RD3
3980,RGS9
3981,RGS9BP
3986,TTLL5
3988,TRAF3IP1
3991,TACSTD2
3994,SLC33A1
3999,RP1L1
4003,SAG
4008,LAMB2
4009,ZNF469
4013,GMPPA
4014,DPYD
4021,LARGE1
4034,KIFBP
4042,RETREG1
4059,NECTIN4
4065,COL4A1
4073,FZD6
4074,CCNQ
4105,P3H1
4113,GDF1
4129,ODAPH
4141,CFAP410
4149,P4HTM
4150,STRADA
4151,BRF1
4152,CHRNB1
4154,PI4KA
4155,TMEM240
4163,NDUFA12
4164,RNPC3
4165,IFT74
4166,GLRA1
4168,GLRB
4170,CEP85L
4173,NHLRC2
4174,RBBP8
4175,AKT2
4176,ALKBH8
4177,DYNC2LI1
4178,CDH11
4184,SMARCAD1
4191,GH1
4196,PLS3
4197,RAC2
4198,ROBO1
4199,SRRM2
4204,KIF1B
4206,PARS2
4207,DNAJC6
4208,RRAS
4209,MBTPS1
4210,MED12L
4212,OGT
4213,SLC5A6
4215,AMMECR1
4217,DHPS
4218,FHOD3
4219,TIMMDC1
4220,PAX7
4221,PMPCB
4222,PREPL
4223,ATN1
4224,SYT1
4231,HIKESHI
4232,CELSR1
4234,CEACAM16
4239,ABCC1
4241,CLIC5
4242,CRYM
4243,DIABLO
4244,DIAPH3
4246,ELMOD3
4247,ERAL1
4248,ESRP1
4250,GRXCR2
4251,KITLG
4252,MIR96
4255,PPIP5K2
4256,RIPOR2
4257,ROR1
4258,SLC9A1
4259,SNAI2
4261,SPNS2
4262,TMEM132E
4263,TNC
4264,WBP2
4268,DNAJB13
4269,DNAL1
4270,GAS2L2
4271,SPEF2
4273,C1S
4276,MFAP5
4277,SMAD6
4278,FGF9
4281,CRELD1
4283,JPH2
4286,BLOC1S5
4287,BTG4
4288,DNAH8
4289,THSD4
4292,KIF3B
4293,LMBRD2
4294,LMNB2
4295,PISD
4296,RAX2
4297,RPL13
4300,TRIP13
4329,MSH3
4335,SRP72
4336,CDKN2B
4344,CLCA2
4347,TRPM4
4348,GTF2E2
4350,MST1
4351,RHOH
4352,CD151
4353,DSC3
4361,SH2B1
4362,TUB
4366,SEC61B
4367,STN1
4372,ARSG
4374,VPS33A
4375,PLAT
4376,BPGM
4377,RBCK1
4378,FTH1
4379,HEPH
4380,STEAP3
4383,ARHGEF28
4385,ATP2B3
4388,CCDC88C
4389,CIZ1
4391,DAO
4392,EIF4G1
4393,ERBB4
4394,EWSR1
4396,GIGYF2
4397,HNRNPA2B1
4399,MATR3
4401,SIGMAR1
4402,SNCB
4403,SS18L1
4405,TUBA4A
4407,VPS13C
4409,B3GNT2
4410,CLIC2
4413,HDAC6
4414,CILK1
4416,MPDZ
4418,P4HB
4419,PTCH2
4420,SEC24D
4421,TBC1D7
4427,MAPT
4429,COL25A1
4432,LOXL3
4435,ABL1
4438,MYLK
4443,ALG2
4446,PIGM
4451,ACVR1
4452,ADAM17
4453,ADAMTS3
4455,ADCY5
4457,AGTR1
4458,AIMP1
4462,ANO10
4463,AP2M1
4466,ASPRV1
4467,ATP1A1
4469,ATXN1
4477,C1QA
4478,C4A
4479,C8B
4481,CACNA1S
4482,CAMK2A
4483,CASP8
4485,CAST
4489,CEP63
4490,CFB
4493,CISD2
4496,CLCNKA
4504,CSTA
4506,CTNNA2
4509,CYP26B1
4513,DNASE1L3
4518,EDARADD
4520,EIF2AK2
4521,ELOVL5
4522,EOGT
4524,EXOSC9
4525,FARS2
4526,FARSB
4529,FGF12
4531,FIGLA
4534,GABRA2
4536,GCLC
4538,GFM2
4541,GHSR
4542,GJA5
4551,GRM7
4554,H6PD
4555,HSPA9
4560,IGFBP7
4561,IL1RN
4562,INTU
4566,KCNN3
4567,KCNT2
4568,KDM1A
4569,KDM3B
4572,KIF2A
4578,LCT
4580,LIAS
4581,LIPT1
4584,LOX
4586,LRIT3
4587,LZTFL1
4588,MACF1
4605,MYD88
4607,NCSTN
4609,NDUFAF3
4613,NHP2
4616,NLGN1
4618,NPPA
4619,NPRL2
4621,NSUN2
4622,OCLN
4624,OSMR
4625,P3H2
4627,PADI3
4629,PDE6D
4632,PDHB
4635,PIGK
4638,PLD1
4640,PMVK
4641,PNPLA1
4642,POLR1C
4643,POMC
4645,PPCS
4646,PPP2CA
4647,PPP3CA
4648,PRDM16
4657,RBPJ
4659,REEP2
4660,RFC1
4664,RORC
4665,RPIA
4666,RSPH9
4667,RSPO1
4668,RSRC1
4670,SASS6
4679,SGMS2
4681,SLC16A1
4682,SLC25A12
4690,SLC30A9
4691,SLC5A7
4693,SLC9A3
4694,SP110
4695,SPARC
4698,SYT2
4700,TAP2
4704,TENM3
4705,TET3
4706,THPO
4712,TOE1
4713,TOR1AIP1
4716,TREM2
4723,UCHL1
4724,UGP2
4725,VANGL2
4729,WNT4
4731,XDH
4732,XPR1
4737,ZNF142
4739,ABAT
4743,ACTN4
4744,ADAM10
4745,ADAM22
4749,ADARB1
4750,ADAT3
4751,ADCY6
4753,AEBP1
4754,ALAD
4760,ALDH6A1
4761,ALG11
4767,ANKLE2
4769,AP1B1
4771,AP3D1
4775,APC2
4777,ARHGDIA
4778,ARR3
4780,ATAD1
4782,ATL3
4785,ATP6AP1
4790,B3GALNT2
4791,B3GAT3
4793,B4GALT1
4796,BFSP1
4797,BGN
4799,BMP1
4800,BMP15
4802,BNC2
4808,C12orf57
4815,CARMIL2
4821,CD27
4822,CD59
4823,CD70
4826,CDH2
4832,CEP55
4834,CFAP44
4836,CHD4
4838,CIT
4840,CLDN10
4841,CLMP
4842,CLP1
4844,CNTN1
4846,COA7
4855,COQ6
4859,CREB3L1
4860,CRIPT
4861,CRYBA4
4864,CSF2RB
4865,CSGALNACT1
4867,CTNND1
4869,CUX1
4870,CUX2
4871,CWF19L1
4872,CYCS
4873,CYP11B2
4875,DBH
4876,DCPS
4880,DGAT1
4881,DGKE
4883,DLL1
4884,DLX3
4885,DMXL2
4886,DNA2
4888,DNAAF2
4890,DNAAF5
4891,DNAH9
4892,DNAJB11
4893,DNAJC21
4894,DNAJC3
4901,DPF2
4902,DPH1
4903,DRC1
4904,DSE
4905,DUOXA2
4908,EDN3
4910,EED
4912,EFL1
4915,EIF3F
4918,ELP2
4919,EMC1
4920,EMG1
4922,EPS8
4926,ERLIN2
4927,FAM111B
4929,FAM50A
4930,FAR1
4934,FDX2
4935,FEZF1
4936,FGF14
4937,FGF23
4948,FOXJ1
4951,FRRS1L
4955,FUT8
4956,GABBR2
4957,GABRA5
4958,GALM
4959,GAS8
4969,GLDN
4972,GNA11
4975,GPC6
4976,GPHN
4977,GPIHBP1
4978,GPNMB
4979,GPX4
4981,GRHL2
4983,GRIA4
4991,HCN4
4994,HK1
4999,HOMER2
5002,HOXA2
5003,HOXB1
5004,HPDL
5010,IL10RA
5011,IL11RA
5015,INSL3
5016,INTS1
5017,IRF2BPL
5018,ISCA2
5019,ITCH
5021,ITPA
5022,KAT8
5026,KCNJ5
5027,KCNJ6
5028,KCNK9
5030,KCNN4
5031,KCNQ3
5036,KIAA1549
5037,KIF1C
5039,KLHL24
5043,KLK4
5045,KNL1
5047,KREMEN1
5048,KRT16
5049,KRT4
5051,KRT6B
5052,KRT6C
5053,LAMA4
5054,LAMB1
5056,LDB3
5058,LMF1
5061,LSS
5069,MAP3K7
5072,MAST1
5073,MBOAT7
5076,MCM8
5077,MCM9
5078,MDH2
5080,MED23
5084,MEOX1
5085,METTL23
5086,METTL5
5090,MMP14
5091,MMP20
5096,MYBPC1
5104,MYO3A
5107,NADK2
5108,NADSYN1
5109,NANS
5110,NARS2
5111,NAXD
5112,NCAPD2
5116,NDUFA6
5118,NDUFAF8
5119,NDUFB8
5120,NDUFV2
5121,NECAP1
5122,NECTIN1
5123,NFASC
5124,NFIB
5128,NIPA1
5129,NKAP
5130,NKX2-6
5131,NLGN3
5133,NLRP1
5134,NLRP12
5135,NOVA2
5140,NR2F2
5141,NRROS
5142,NT5E
5143,NTNG2
5144,NUP107
5145,NUP188
5146,NUP93
5147,NUS1
5148,OSBPL2
5152,OXR1
5154,PACS2
5155,PAK1
5160,PCLO
5162,PDE10A
5164,PDGFB
5165,PDP1
5166,PDSS1
5181,PIGB
5183,PIGP
5184,PIGQ
5185,PIGS
5186,PIGU
5187,PIGW
5189,PKD1L1
5193,PLOD3
5195,PLVAP
5196,PMP2
5198,PMPCA
5200,PNPLA8
5201,POFUT1
5210,POMK
5211,POMP
5217,PRKG1
5227,PUS3
5228,PUS7
5232,C9
5234,CARS2
5235,CEL
5236,CITED2
5238,DYNC2I2
5239,EPAS1
5245,IRF8
5246,KRT86
5247,MLH3
5249,NT5C2
5250,PRKRA
5251,RARS1
5252,SNORD118
5253,SYN1
5254,TENM4
5257,TMX2
5258,CASP14
5260,SERPINB8
5265,JUP
5266,RPL18
5267,RPS28
5268,RPS29
5270,COASY
5272,HHAT
5273,KCNC3
5275,RAB11B
5276,VPS51
5277,AKAP9
5278,CCDC146
5279,CEP131
5280,ASZ1
5281,DAZL
5282,DDX25
5283,DNAH6
5284,ELMO1
5285,ESR2
5286,FAM47C
5287,HIPK4
5288,HORMAD1
5289,MAGEE2
5290,MMRN1
5291,ODF4
5292,PGK2
5293,ROS1
5294,SPAG17
5295,SPATA3
5296,STRA8
5297,TBCCD1
5298,TDRD6
5299,TTLL9
5304,RAD51
5308,RALGAPA1
5309,RBMX
5313,RELT
5316,RHOBTB2
5320,RNF216
5321,RORA
5322,RORB
5326,RSPH3
5327,RSPRY1
5331,SART3
5332,SCAF4
5333,SCAPER
5335,SCN2B
5339,SCYL1
5340,SCYL2
5344,SEMA6B
5345,SERPINH1
5346,SETD1B
5347,SFRP4
5348,SFXN4
5349,SGPL1
5352,SHMT2
5354,SIAH1
5355,SLC10A7
5356,SLC11A2
5357,SLC18A2
5359,SLC24A4
5360,SLC25A10
5361,SLC25A42
5362,SLC26A1
5363,SLC26A5
5366,NHERF1
5367,SLFN14
5369,SMAD2
5373,SMARCD1
5376,SMPD4
5378,SNRPB
5380,SOX18
5381,SOX6
5384,SPINT2
5385,SPOP
5386,SPRTN
5387,SREBF1
5388,SSR4
5392,STT3A
5393,STX3
5394,SUPT16H
5401,OTUD5
5402,TACO1
5403,TAF2
5406,TANGO2
5408,TASP1
5409,TBC1D20
5411,TBX18
5412,TBX6
5413,TBXA2R
5417,TEX11
5418,TFE3
5420,TGM6
5421,THG1L
5422,THOC2
5426,TMEM107
5428,TMEM138
5429,TMEM147
5430,TMEM199
5431,TMEM230
5434,TMEM94
5435,TMEM98
5437,TNFAIP3
5438,TNFRSF11A
5440,TNFSF11
5441,TNNI2
5442,TNNT3
5444,TNPO3
5448,TPP2
5449,TRAPPC6B
5452,TRMT1
5455,TRPV6
5457,TSEN15
5458,TSPEAR
5459,TSPYL1
5460,TTC12
5463,TTI2
5466,TXNDC15
5467,TYROBP
5468,UBA1
5469,UNC45B
5472,VAC14
5473,VAMP2
5474,VEGFC
5475,VPS13D
5477,VRK1
5478,WASF1
5481,WDR11
5482,WDR4
5493,XRCC2
5495,YIF1B
5496,YY1AP1
5500,ZMYM2
5501,ZNF335
5502,ZNF408
5504,ZNHIT3
5505,ZP1
5506,ANGPT1
5508,BMP7
5511,CBY1
5512,CDC42BPB
5516,COMT
5517,DRP2
5518,DSCAM
5519,ACTL6A
5520,ANKS1B
5521,CACNA1B
5522,CACNA1I
5523,CAD
5525,COL4A2
5532,KRT1
5537,POLG2
5539,PUM1
5540,RNU7-1
5542,SLC12A5
5543,SOX4
5546,TOP2B
5549,KIF4A
5552,FBXO28
5553,MAN2C1
5555,ABHD16A
5557,ACO2
5559,ADGRL1
5564,ARPC4
5568,ATP11A
5570,ATP2B1
5571,ATP5MC3
5572,ATP6V0A1
5577,CDSN
5582,CFHR5
5584,CLCN3
5591,COPB2
5592,DCTN1
5597,DYRK1B
5599,EMC10
5600,EML1
5601,EMX2
5602,FKBP6
5603,FLI1
5606,FN1
5607,FOCAD
5608,FRA10AC1
5609,FRMD5
5610,FZR1
5614,BICRA
5617,HERC2
5618,H4C3
5621,JAK1
5622,KCNJ16
5623,KDF1
5625,KLHL41
5626,KRT13
5627,KY
5628,LAMA5
5629,LETM1
5631,LMOD2
5632,LYZ
5633,MBD4
5634,MDFIC
5642,NDST1
5643,NEK9
5644,NPTX1
5645,NRCAM
5647,OGDHL
5648,PAPPA2
5649,PAX5
5652,PLAG1
5653,POT1
5654,PPIL1
5655,PRDX3
5656,PRKACB
5658,REST
5659,RRAGD
5660,SCUBE3
5661,SEC61A1
5662,SERPINA6
5663,SLC34A1
5664,SLC38A3
5665,SLC4A3
5666,SLF2
5669,SMC5
5670,SMG8
5671,AFG2B
5674,TARS2
5675,TCEAL1
5677,THUMPD1
5678,TMEM151A
5679,TNFRSF9
5681,TULP3
5686,ZNF699
5687,ZNFX1
5688,ATP5F1A
5689,CCDC32
5691,MYH6
5693,SCAMP5
5694,YWHAZ
5696,ABCC4
5699,ACOX2
5702,ADD3
5703,AHCY
5708,ANK3
5709,ANO6
5711,AQP5
5712,ARHGEF9
5716,ATP5MK
5719,B4GAT1
5720,B9D2
5721,BAAT
5722,BACH2
5723,BLOC1S3
5734,CAT
5735,CCDC22
5738,CFAP221
5739,CFAP298
5741,CHCHD10
5751,CRBN
5756,CYS1
5760,DNAJC5
5769,EPS8L2
5770,EXOC7
5775,FBXO38
5781,FOXA2
5784,FXYD2
5785,FYB1
5786,GABRD
5793,GNB4
5798,GSTZ1
5799,GTPBP3
5800,HAND1
5801,HELLS
5802,HGF
5803,HNRNPDL
5806,HRG
5808,ICOSLG
5809,IDH3B
5810,IGLL1
5812,IKZF2
5813,IKZF3
5814,IKZF5
5824,KDM5B
5825,KIF5C
5830,LCK
5832,LITAF
5834,MAP3K20
5836,MCM4
5837,MECR
5846,MRPL3
5847,MRPS34
5849,MT-ND2
5850,MT-TD
5851,MT-TG
5852,MT-TS2
5853,MT-TT
5855,MTAP
5861,NDUFA13
5862,NDUFA2
5863,NDUFA9
5864,NDUFAF1
5866,NDUFB10
5868,NDUFC2
5869,NDUFS3
5873,NEUROD1
5874,NEXN
5883,P2RX2
5884,P2RY12
5893,PET100
5895,PIK3CG
5896,PLA2G4A
5897,PLAU
5898,PLEC
5907,REL
5908,RFT1
5913,SARS2
5914,SBF1
5916,SCP2
5919,SELENBP1
5920,SEPTIN9
5921,SERPINB6
5922,SERPINE1
5924,SLC39A7
5930,SRC
5931,ST3GAL3
5933,SUGCT
5934,SYNE4
5938,TAPBP
5941,TET2
5942,TFRC
5943,THBD
5949,TPK1
5951,TPM4
5952,TRAC
5953,TRAF3
5954,TRIM63
5955,TRMT10C
5956,TRMU
5959,TSFM
5964,TUBB4B
5966,UNG
5967,UQCRC2
5968,VCL
5969,VKORC1
5970,WASHC5
5974,XPNPEP3
5978,GJB3
5983,SARS1
5985,GFI1
5986,RNF113A
5987,ABCD4
5988,ATXN8
5989,ATXN8OS
5993,DNAH2
5995,DZIP1L
5996,EIF5A
5999,FGF13
6004,LYN
6008,PIP5K1C
6009,PTCD3
6013,SSBP1
6016,TRA2B
6019,WNK4
6021,ACE
6023,COLGALT1
6055,RAC1
6058,CACNA1E
6061,MAP1B
6063,PPP1R12A
6074,FBXW11
6080,CNNM2
6082,HIVEP2
6089,BRPF1
6092,C7
6093,CENPF
6094,CLTC
6095,RHAG
6100,TG
6101,THRB
6104,CA12
6106,ACTG2
6108,YAP1
6113,CETP
6115,CHRM3
6116,SMOC2
6120,ADCY10
6123,BEAN1
6125,AAGAB
6126,WDR73
6134,GNRHR
6135,H19
6138,ITGA8
6145,KRT83
6153,ATP6V1B2
6154,PDE3A
6155,AVP
6156,PLCD1
6175,ATP2B2
6182,CCDC50
6183,CDC14A
6187,CEP250
6188,CEP78
6216,FDXR
6219,FOXI1
6227,HARS2
6238,LARS2
6241,LMX1A
6263,PAX1
6271,PLS1
6281,S1PR2
6289,SLC17A8
6293,SLC4A11
6334,EXPH5
6337,JAM3
6338,XYLT1
6344,SNAP29
6353,HESX1
6354,NUP62
6361,DPM3
6363,SLC25A19
6365,ARHGAP31
6374,MED17
6375,ASPH
6377,PTPN14
6379,TAC3
6381,CCDC78
6383,TACR3
6384,TRPV3
6385,ARFGEF2
6387,BANF1
6388,NRXN2
6391,TMEM216
6392,CLCNKB
6393,TECPR2
6397,KRT74
6398,GCSH
6399,MIR17HG
6403,SLC6A17
6406,BOLA3
6408,CEP135
6411,SLC35A1
6412,TUBB3
6415,ZNF750
6422,CHMP1A
6432,SNRPE
6433,IRX5
6434,SECISBP2
6440,MAMLD1
6445,TUFM
6449,LONP1
6451,EDN1
6460,RBM10
6465,LRIG2
6466,ZSWIM6
6468,PITX1
6475,PTH
6476,CCDC8
6477,LIPN
6481,GRM1
6484,PDE6H
6495,CHRNA1
6496,POLR1A
6497,SHANK1
6498,GLIS2
6501,ZMYND11
6503,TRAIP
6504,XYLT2
6506,UBE2T
6509,CNTNAP1
6511,NDUFA10
6513,TKT
6517,PIGY
6518,SETD1A
6522,KIDINS220
6527,USP27X
6528,GZF1
6529,INPP5K
6534,GPAA1
6538,DDX6
6543,ARL3
6545,NUP214
6546,DYNC1I2
6551,ROBO4
6553,NUP133
6554,TP53RK
6555,CTU2
6559,PIGH
6561,CAMK2G
6562,GEMIN4
6564,RPL26
6581,SCNN1B
6589,ATP6V1E1
6592,C1R
6609,LTBP4
6616,RIN2
6663,SLC25A24
6679,CCDC65
6680,CFAP53
6681,CFC1
6685,DNAAF4
6688,LRRC56
6690,MMP21
6691,MNS1
6709,GBF1
6710,HTRA1
6711,LMNB1
6712,RIMS2
6726,TBXT
6805,TNNI3K
6824,CIB1
6844,FLG2
6847,ITGA6
6875,TGM5
6880,CARD14
6882,CARD9
6884,FDPS
6889,GJB4
6891,IL36RN
6894,MVD
6900,PSENEN
6907,STING1
6916,ABCA12
6918,ALOX12B
6920,ALOXE3
6923,CERS3
6924,CLDN1
6925,CYP4F22
6948,KRT10
6955,KRT6A
6959,LORICRIN
6965,SDR9C7
6966,SERPINB7
6968,SLURP1
6970,SPINK5
6971,ST14
6973,SULT2B1
7000,CEP19
7004,LEP
7005,LEPR
7009,NTRK2
7040,IER3IP1
7041,IL2RA
7059,NEUROG3
7061,NKX2-2
7073,AP2S1
7080,PDE11A
7081,PDE8B
7089,APPL1
7111,INSR
7121,PLIN1
7124,PPP1R15B
7126,SLC29A3
7229,EGLN1
7231,EPO
7232,EPOR
7237,JAK2
7243,ENO3
7248,GYS1
7249,GYS2
7250,LDHA
7252,PGAM2
7255,PHKA1
7257,PHKB
7258,PHKG2
7261,PYGM
7269,GLRX5
7272,IBA57
7273,ISCA1
7277,LIPT2
7288,SLC25A26
7292,CYBRD1
7302,TF
7305,APOA5
7308,APOC2
7312,CREB3L3
7313,GPD1
7343,APP
7352,CHCHD2
7359,CYP7B1
7366,EIF2B1
7368,EIF2B3
7377,HNRNPA1
7381,ITM2B
7383,KCND3
7396,PSEN1
7399,PSEN2
7414,AGRN
7415,ALG14
7417,CHAT
7423,CHRND
7431,COL13A1
7432,COLQ
7438,MUSK
7439,MYO9A
7443,SLC18A3
7444,SLC25A1
7447,VAMP1
7456,CEP83
7460,DENND5A
7475,BLTP1
7483,OSTM1
7493,RNF125
7508,GUCY1A1
7511,RNF213
7521,ANO3
7533,FBXO7
7538,GNAL
7540,HPCA
7554,PNKD
7566,SLC20A2
7569,SLC30A10
7577,THAP1
7586,BICD2
7597,TRIP4
7627,SOST
7628,SNX10
7641,ATP2A1
7645,CLCN1
7658,PHOX2A
7682,ABCA3
7683,SFTPB
7687,SERPINA1
7712,COL12A1
7764,JAM2
7792,SPINK1
7833,SAR1B
7835,SI
7844,TMPRSS15
7846,WNT2B
7897,CCDC115
7900,COG5
7901,COG6
7907,DPM2
7909,GALNT2
7935,ALDH1A3
7954,SIX6
8214,ADAMTSL4
8215,ALPK1
8224,C1QC
8228,CACNA2D2
8233,CRTAP
8234,CSF3R
8243,ENAM
8248,FMN2
8262,KLHL3
8263,LNPK
8273,NR3C1
8282,PKDCC
8291,ROBO2
8304,TDP2
8309,UGDH
8317,ADAMTSL2
8320,AMELX
8329,ATP6V0A4
8331,AURKC
8344,CAPN1
8363,DONSON
8364,DPY19L2
8376,FANCM
8377,FGF8
8387,GNB5
8399,KCNA5
8401,KCNJ18
8405,KIAA0753
8411,LPAR6
8415,MADD
8422,MKRN3
8424,MN1
8432,MYO1E
8433,MYRF
8436,NKX6-2
8454,PRUNE1
8465,CHST6
8471,DPYS
8480,PNP
8486,SLC39A8
8495,ACVR2B
8503,AGBL5
8514,AMPD1
8527,ARHGEF18
8529,ARL2BP
8554,C4B
8573,CDCA7
8582,CHKB
8584,CHMP4B
8586,CHRNA2
8588,CHST11
8593,CLDN16
8603,COPA
8604,COQ7
8609,COX6A1
8615,CRYGD
8618,CTBP1
8619,CTPS1
8621,CYBA
8622,CYP11A1
8625,CYP27B1
8631,DDRGK1
8633,DHX38
8647,DNMBP
8655,DRAM2
8659,DSG4
8672,EPB41
8673,EPB42
8680,FAM149B1
8682,FAM83H
8702,GBA2
8714,GPI
8727,HACE1
8732,HES7
8741,HSD17B3
8742,HSD3B2
8747,IGFALS
8749,IL10RB
8755,ISCU
8756,IYD
8757,JAGN1
8761,KCNJ1
8763,KCTD17
8765,KERA
8773,KRT25
8777,LACC1
8778,LAGE3
8783,LHB
8788,LIPH
8798,MAG
8799,MAGED2
8814,MGME1
8817,MLPH
8835,NCF1
8837,NCF4
8839,NDUFA11
