,gene_symbol
411,PAX9
412,FHL1
413,CDH23
414,TRPM1
415,STS
417,ASAH1
420,PGAP2
421,STRA6
422,ZNF711
423,PRSS12
425,HCCS
426,STAMBP
427,NKX3-2
428,TGFBR2
429,DDC
430,NFU1
432,PIK3CA
434,DHODH
435,PRPS1
436,DMP1
437,RAX
438,BBS5
439,GAMT
440,SLC2A10
445,TRPS1
446,KLHL40
447,MGAT2
448,SOX11
451,UGT1A1
452,LYST
453,ZEB2
454,TTC8
455,PRKAR1A
456,IFT43
457,FLVCR2
458,CYP2U1
459,ANTXR1
462,CDT1
463,TTN
464,MANBA
465,PTDSS1
466,RSPO4
467,SLC25A20
468,WNT10B
469,TREX1
470,RAD21
471,GNPAT
473,MESP2
474,PCBD1
475,TEK
477,ZEB1
481,PTF1A
482,WNT7A
484,SMARCA4
485,SLC5A5
486,FANCG
487,TUBB2A
488,SUMF1
489,CIB2
490,CEP41
492,HCN1
493,TGFB1
494,PTEN
495,FGFR1
497,GRIK2
498,ORC1
499,FANCE
500,ARL6
502,ROBO3
504,ALX1
506,BMP4
507,MT-TP
508,ALG12
510,LRP5
512,MFSD8
513,ERCC2
514,PDSS2
515,GUSB
516,HSD17B10
517,RIT1
518,ZFP57
519,RTEL1
521,MLYCD
525,PIGL
526,ABCC9
527,KDM6A
528,SHOX
529,PRRT2
530,GDF6
531,TMEM67
532,ZIC3
533,KCNC1
534,MITF
535,MMADHC
537,NYX
538,CRB2
540,TMEM237
541,GATA4
542,SCN8A
544,GABRB3
545,FOXF1
546,PEX26
547,SURF1
548,GRIN2B
549,KIF11
550,CTCF
551,EXT2
552,OPHN1
553,ACADM
554,DNAAF11
555,CASK
556,ETFDH
557,TFAP2B
558,SALL4
559,GRHL3
560,IRF6
561,HYLS1
562,ZDHHC9
563,FOXC1
564,KCNMA1
565,NDUFV1
566,DOLK
567,IFT122
569,SLC6A5
570,WDR19
571,CEP152
572,DSPP
573,CLCN7
574,OTOGL
575,TBC1D24
576,MAFB
577,MTRFR
579,DCX
580,FAM111A
582,MCCC2
583,PDHA1
585,CRX
586,CRYAA
588,SOX10
589,UMPS
591,PEX19
592,SLC4A4
593,FOXE1
595,SPTAN1
596,ABCB11
597,LEMD3
600,THRA
601,BFSP2
602,TUBGCP6
604,COL1A1
605,GLUL
606,ORC4
607,COLEC11
608,ZIC2
611,NEU1
613,CDH3
614,PAX3
615,NKX2-1
617,BMPER
618,GJA1
619,SLC19A3
620,SOX17
622,AGK
623,BCL11A
624,GNAS
625,GNS
628,CRYBB1
629,SLC6A8
630,ALDH5A1
631,POMT1
632,PTHLH
633,CFAP418
634,SLC39A13
635,B4GALT7
636,DHFR
637,CA2
638,CHUK
639,HSF4
643,RNASEH2B
644,ACOX1
645,DHCR24
646,GFAP
649,JAG1
650,SOX3
651,SCARF2
652,MTRR
653,TP63
656,PLP1
657,PTS
658,COL10A1
659,FBN2
660,AAAS
661,BPNT2
662,DNAAF3
663,DNMT3B
665,SMC3
666,GJC2
667,SMOC1
668,SLC2A2
670,LRP2
671,CCBE1
672,DYNC2H1
673,RNU4ATAC
676,TUBA1A
677,ADSL
679,ELOVL4
680,TUBB
681,ZC4H2
683,CLDN19
684,SHH
686,TTC19
688,PURA
